TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C1,C6-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C1,dih H7-C1-C2-H8,dih H9-C3-C4-H10,dih C4-C5-C6-C1
28,1.3135342868068312,1.459793907143838,1.421112556488325,1.5402786380553928,1.4754112873432488,1.4723385758700318,121.97936443743667,122.27206632511732,114.91632731254373,121.51912184333291,111.50077915864841,115.38056428143776,2.1100459245969527,18.306729416192297,36.60815122971987
29,1.3503725027793125,1.4318600122529246,1.3683183540884727,1.5756954952218827,1.5406504847447247,1.5355936769594638,120.78743269219818,118.18033118036126,120.71989334765597,119.14783571361986,103.21321916494857,108.66818177089095,12.284836177033462,10.228972488994291,57.765808049533675
30,1.3416167650835704,1.5036781780593071,1.3517208450920175,1.501840743343134,1.606641662129607,1.5383525973639882,126.5274685924995,120.89618830201692,114.75935536738166,125.21591736605863,112.07184995505084,104.41193114610803,4.751544149272018,21.57439106615274,43.32261334314372
31,1.3031008553924217,1.4697544972644687,1.3591647121954282,1.6293676724088364,1.643173758362264,1.4525964932171427,125.05826054661749,123.57109052884826,120.90238191339502,116.99961893099193,110.82380143784499,110.50431970280934,20.522163131691592,16.669865155766374,38.42515911159846
32,1.4219297393765562,1.3982338431443848,1.3285188169849067,1.4545397500830972,1.381555412158421,1.551659745544581,114.16902423463223,119.63273086599662,121.35359710496252,120.06777733262834,111.50862743026184,112.38828677402424,2.1460153956675243,13.558148493258537,52.674877851278666
33,1.331805190744904,1.4052583541513348,1.3949647772808234,1.4550389674934567,1.573409122033977,1.5580570187875895,121.17797907693549,116.97161423011613,127.93958708122979,113.61414595838679,116.39156266895392,105.11046217036984,14.05594224367062,12.631635766729966,47.842298431108134
34,1.3430624819098598,1.4529065917851363,1.3738635141314435,1.4416197219743512,1.5529514485234377,1.5840150000390156,116.42985855460313,124.71965294250825,116.26456536789024,123.32257764805563,114.93880842006182,112.70103862926004,4.949015546573077,1.5613584328008983,33.29845448289468
35,1.3744092140090216,1.4247048720615791,1.3278540733584527,1.523759253493688,1.554318651628672,1.4919031202640884,114.40097499372129,124.59561780333328,123.63026917729893,117.17961195000039,112.9170947836312,115.8069816595318,14.211617079360316,16.774018097520507,39.793350926345944
36,1.3852356974728042,1.433777525914896,1.3995853066671,1.5595461594500883,1.5696525007020674,1.484142007420002,119.3180445791213,119.79975635161176,119.59152654488774,115.30679291556002,109.69255473596252,102.05208507779273,3.487666076800812,4.099579694104997,62.815417087524814
37,1.2728947836048072,1.4241176021975888,1.342180892839886,1.4690494578769207,1.5491529814379652,1.4720685811665164,117.21689013059616,126.38124086476894,116.0138861498422,122.57809152241668,111.40306190956416,114.00117403673354,6.9394324274374615,9.297068254732071,36.00249991221318
38,1.3896113359542561,1.3723961637144249,1.3448528130161306,1.6058301018910037,1.5298401966996509,1.4978934575028195,119.52178694278571,124.77383807389405,118.80503765279896,121.86248330825593,109.98103035338289,112.35339926426164,8.33953687891951,2.86159835000586,39.455630135615486
39,1.3341580337015475,1.3975791210039374,1.4233081156499088,1.5443603024749257,1.4638593010937346,1.5346087980786722,120.50139295964829,123.28406278351605,118.51048196720853,118.9231651415126,112.13094040409429,111.02769655742146,19.202541213660524,11.626453163699006,44.7847129475511
40,1.4124503624118705,1.5248430972276945,1.3868585728969534,1.4685703440363764,1.4724855390539318,1.564963116768926,120.84046765076602,115.99773682205073,117.45913268913517,123.52140324484378,115.8017569699837,114.4431479229807,9.072890827248623,27.66547342191082,31.57345349108865
41,1.3446569477541013,1.4857490912296176,1.4127539394509085,1.5702215107940487,1.5580460855833913,1.494958470925788,118.27361384364191,122.79749890876312,116.71417919373354,118.33282619775278,108.95462103608662,109.84917630515176,10.685516280166103,5.867355550239508,54.586975551613925
42,1.4164122416075655,1.4383308473022014,1.297072040745937,1.555640512564812,1.5134514042333813,1.5152397722886,117.54765090993605,117.72702073767778,123.94283413495799,123.92461337635086,107.23041617021524,116.79002607834977,9.815655354856966,12.533275068266017,40.06102480821426
43,1.368329245258663,1.4768715592190957,1.3635235649929422,1.4975530627765854,1.5497539369948636,1.5457547618911223,121.01273696582344,119.16071095973444,122.11888270840275,120.1963057121697,115.33424941832729,110.1855528249023,8.910299727985615,11.877930355048356,38.2641647298276
44,1.405370089810875,1.4774111470583988,1.3779616391878158,1.5593748788134028,1.549940393817089,1.5196087480036948,120.91542636303518,115.4440495440282,125.50775313769306,116.53799564563722,107.55873635016138,112.18178736131387,0.9084906972540226,0.9629797659598505,52.562800252849954
45,1.3889784768535267,1.4847734365541845,1.3624495627968987,1.5676919704984684,1.5124967178657398,1.4743776943320024,118.95589345874104,119.11948135577754,124.1902058701688,118.01314120562705,111.8502842012949,119.86987790087063,7.318329306743256,20.31686609819324,32.88543077172053
46,1.3749105229252532,1.477817389910207,1.3581798607813618,1.5322563194216452,1.524950395319597,1.4865618473179263,118.7672802509686,123.38757863000804,120.37907229381443,112.99586634008158,115.23263611486935,109.4834684828932,2.238834788377163,12.550757955748223,50.35988129225898
47,1.3644462145081913,1.444505405638077,1.3249799514742784,1.5283359489860098,1.4697355059599946,1.5203817350091986,122.98723010679527,120.83534928422047,119.22747144314597,122.29147060962265,116.04602843851465,111.72850411555041,16.52154517966014,5.350192783657514,28.906973336441702
48,1.3983069077563142,1.4556179967496818,1.3895437876319443,1.5469476770403485,1.4938456774964484,1.4720324794480932,116.44388706346409,123.04084504339738,117.53144106457343,118.22253324846558,110.8261421839282,114.98540410051041,8.04999065723009,12.914433734370682,48.27852894264389
49,1.2937508897680365,1.4101241922947847,1.3802588506772553,1.5393042132540995,1.519755093397527,1.5535188142581988,116.45236197180762,124.04695374306232,123.88019991393588,117.50946397346569,109.90922478399783,119.3530623048002,7.003601536050984,5.708993467272994,31.846461088757398
