TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
41,1.5149860254625767,1.5300761619784597,1.6056518212344428,1.5713614867935897,1.4705757721440922,1.4140567753621842,1.4094927174622924,1.453983010596208,111.63855354728929,124.66820466456586,108.42827612911304,122.26114908775045,124.70297511802086,134.29664701232187,116.45786949439125,143.53391760049436,12.078733470546522,108.76198594008362
42,1.5198243630418533,1.579120653193304,1.5657962759541715,1.561219740866786,1.4423937062607466,1.3813261040782252,1.6598753598156588,1.4136078579968927,131.96543884435886,131.4755573440762,111.76617120359808,123.01167595564579,114.49997597307424,122.94658570358075,92.06277954071378,127.90225417564315,45.44572247512898,9.38847831535614
45,1.6633276337885234,1.5211102876565923,1.580664091897404,1.6211402578619738,1.4734289989607303,1.4443601503769257,1.389094386244595,1.4367120873167678,129.5443127752479,130.88000992114425,118.38660334391886,121.80105954300342,106.1631515983531,136.5349145659137,124.8995143708097,121.5017166803905,121.35026870084936,10.125433191459662
48,1.4425166906661462,1.574566332928978,1.5720132267208493,1.491750585712007,1.5218764730435494,1.3375453313164567,1.365666237920862,1.5637892003911145,131.5409027849038,118.89062539576337,122.4307873361783,105.92303335743799,114.2319651310257,125.18736270141416,117.56578638768637,93.30602758518333,33.37506378926342,57.30667005868869
49,1.459516668500866,1.5535153490469435,1.5075892468175895,1.6748986539377237,1.4968073544991247,1.3473862566735353,1.366674051315759,1.3449817405919249,128.31808298820064,119.09935504429129,117.4448509206359,109.6264392267212,100.71337787261325,129.8084011596124,125.71691693217052,134.46568880026535,130.85967095964386,9.488179267731468
50,1.6403125635057347,1.658507753316122,1.4640168163823204,1.6887423113435656,1.6353739803152154,1.2856981674353116,1.5110204347824743,1.4413709509520343,103.11188404687546,120.00179019720406,105.4161664505982,105.92179812155561,122.73755401613386,122.22364032640374,128.21857148608828,141.01045665470238,28.87948790735721,134.53996339060396
54,1.5157848064454977,1.5127132396847232,1.5604953849775303,1.4834536438663835,1.5074040520235568,1.3691195148741977,1.4255415329591887,1.347890580287823,124.75307161145965,102.8820073654742,111.87974638265385,122.44643069658025,125.01027668495976,137.31773063289384,124.83508333067445,92.44027874872454,3.2383334394814214,41.27985213722324
56,1.5472305067171532,1.583785926693143,1.338597476000176,1.4781106440846072,1.5431987575839992,1.4132292351729834,1.4913792707554634,1.2684045813099378,139.03792701062923,112.3210169165265,121.18154697311076,114.0129917236613,109.82045915910955,117.02809302204058,123.97310634599192,129.25059533791963,111.3608716805933,4.837933188719883
57,1.6571098749690254,1.6830545920312483,1.6831004941009604,1.5654441512397304,1.5340022255179993,1.3034924912910695,1.5146096032783107,1.4813634795993067,134.3629484265306,120.22744989127693,116.6319650165763,114.94376570760845,114.7343776533455,143.87814362467975,125.99198459969622,91.17414473249755,9.735146014323105,56.17134913079127
58,1.540340632173386,1.5792062407530039,1.4949780728294388,1.6187375552809413,1.4777771333993877,1.3803944825665342,1.4806155037585893,1.3978018469483249,147.2178236767597,117.76682294811035,127.14857319937944,121.17773861146318,107.12163755348283,128.43818762721247,121.8014124823624,127.68273228204572,42.13544081056749,98.67118555650995
60,1.5225826464577008,1.5834887439575982,1.5848120441932203,1.6772575233234468,1.410548017635338,1.495517490289305,1.4028530643362147,1.3799986626185454,122.7692713054234,113.65432066062343,119.8628734241661,110.77498275133206,97.80913537928603,132.09572740881467,115.40998975489578,128.0808185728424,52.22912179032722,20.532727714488814
62,1.701288907729465,1.504869765464242,1.6311793462344866,1.66260655586321,1.4100654651921034,1.412843440168723,1.6117419707599763,1.214787055322069,126.29842219267256,118.99032410235277,111.66498371811721,99.74873448764014,122.03264560113185,110.5467132962404,148.9162091596058,91.01483995836269,28.67780911003478,107.12110613022084
66,1.6265103898028723,1.761404001434254,1.6337422356924214,1.650822460333822,1.6266716793901168,1.3215541559857424,1.5099151393005552,1.3776348403359457,123.00655793981926,95.77316475682335,110.59585279548358,103.31786689155066,113.97531792592946,127.25072521986296,131.2620636111205,144.65883172317922,8.32632226168201,99.7077585244669
67,1.6173855211818422,1.6471486869475709,1.5389177834560441,1.531768139279127,1.584653125079513,1.283316390458136,1.7291545237901973,1.5695214790737784,124.36363750810902,110.91043730603987,116.9739533296573,112.35294153809035,119.4061547724207,126.46517467812212,121.81423646721935,81.75744768160607,0.25612727292282866,39.99238705066466
68,1.6386017982300878,1.5027149749585735,1.4995918483170225,1.545883401994988,1.4467065839609636,1.5952687487392976,1.4811652211262756,1.5674040419761912,125.71793654221504,123.76496905476048,122.31400367556594,114.07629642188029,116.56893149056343,118.04841611384771,90.47729208462462,145.75769213516568,59.43638056878917,38.95614707868529
69,1.5117323770260962,1.6925927412899142,1.549800014506782,1.6794507116617834,1.4696021729578392,1.2980725170238783,1.550908701332542,1.354562437608523,116.82482014157203,126.24629463215686,117.59049720440878,117.34586491170982,116.73111706355448,128.0508514268431,141.9656892452624,125.32264546832062,112.6459918950114,32.690189905782354
71,1.6530860841627322,1.4686360049068143,1.4174251472558215,1.569167597274379,1.4151632754744128,1.3593276587537637,1.5163741095135501,1.604456978231913,126.2648767988852,124.8537659223602,123.59206454987199,114.23266317204413,118.86778422050737,130.4294229792927,120.01558626883414,77.93105597253452,12.31916012394663,81.61262167132926
72,1.5186945880904172,1.4682571894964527,1.6731548881691174,1.5401993845360498,1.406581101038021,1.2936992003665442,1.3586454267253634,1.4023253251541632,132.27076774092126,136.65953549494165,110.10437797557306,104.35896632253724,128.05094628478014,136.985125133382,92.53588042226173,135.21988739397494,82.49927566792927,36.51204818722304
73,1.573315939502544,1.679574034607527,1.7502520463006304,1.7387075786544068,1.5640876894361277,1.343827457590705,1.4064982865891353,1.3402226343018884,115.13331313593159,125.28679934107845,122.24074805311332,118.61345956819166,124.15724768618217,127.70361638497864,123.6314652714947,82.71912739551357,12.91272180953544,64.15853936596402
74,1.513691050895263,1.7024724585947273,1.5694310020238207,1.4968647320504813,1.5562668473003138,1.3275926708589467,1.3944405779499816,1.3261265632186912,128.97796511130787,133.34742730629455,122.94296438156722,110.11245213081297,128.5596576610713,119.22496733731577,92.36166852578143,136.217993690482,48.259416657328906,29.263446738320408
