TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
56,1.5007174094688134,1.5271638865405537,1.5026342997646116,1.331277249743408,1.566260047422197,1.2634011122768332,1.4841892790022897,1.399695824450094,1.123056964927247,1.0550084579441101,1.123801424787829,1.257023282500517,1.0351982628312328,1.3842021505054365,0.9836776148934567,0.9380422902346564,1.1142425631454793,0.9670481886948826,1.0230276818665722,1.1234281662146421,124.7073568901006,117.22353459105669,113.02538479113925,124.62934736803547,121.07930741034987,131.78538427272267,124.63621581362933,122.19306436635928,13.223826240285726,5.1031687924280735
57,1.5131994709891308,1.6385929925512632,1.5637195063666427,1.6267698557664585,1.5301931020210349,1.2986106243251372,1.4754175686415538,1.2900008977881168,1.1672593495427956,0.9059172930492155,0.8838806738749274,1.2084292383814044,1.0379471828701206,1.0832892743956681,1.183531822415847,1.2188668189368277,1.1209920676346736,1.1217706688619162,1.1736475897931204,1.0559448966060723,127.54810037468147,117.49848273409708,114.74897067721733,115.30077659890358,117.64782129666641,131.06533263623314,126.54598451405019,125.84197659706841,4.015149751433442,22.531622247132113
58,1.4256253404220702,1.5439032704197688,1.5299242823165051,1.6670702491293972,1.4968285304960187,1.2646261615757886,1.3506395292132687,1.335632633213043,0.979190253361049,1.0986076674962049,0.9889438827863473,1.2278057519055787,1.1860511402654055,1.16719286823315,1.322970263728404,1.2847903699065244,1.325658455162785,1.270634206669694,1.0011198587517034,1.1993678157717735,118.05743185422665,115.63117578001149,109.03324085136347,108.04670905922532,112.9332240901649,126.16083534680301,124.88334091745074,132.00992148674268,10.907686065150465,29.702238069966874
59,1.5039342835408276,1.6262684343466718,1.4624125769444776,1.414694141913547,1.6041951204143998,1.1866282297743898,1.5563898747046907,1.2954941754130413,1.1190221069820554,1.4071946018409596,1.117806242467568,1.0137327145863169,1.2034971933092158,0.979820323870902,1.3707996214493572,1.3081569251821805,1.2170460807556704,1.1789578164654866,0.8765707268549119,1.1228207531886254,130.19815909837135,113.569902225447,116.1438008127329,116.44579657428757,116.56385656234072,133.342819388223,123.65003579649577,122.95495861018853,2.5493305428462785,0.9029029051468913
60,1.391025880545463,1.5488131913546679,1.666297389004775,1.463326374827829,1.6043806935777516,1.4090855331306678,1.4409438794364415,1.3272552244125062,1.0896823990352855,1.0907692849411879,1.1346120900089982,1.0792953412770354,1.2507993439211436,1.186778719558376,1.32652065987957,0.9831191661623666,1.048246097066351,1.1999223976127793,1.0572635831770314,1.0029980758571324,130.70327221368655,117.0936024782956,114.72824536254888,108.63713918426114,120.0286963687464,128.63260465200693,119.99043263467726,128.39038957018735,19.80267712335985,19.03307038994043
61,1.632674807662529,1.4901655379647485,1.635427040203997,1.553537274057732,1.6060804079733484,1.4076148378080642,1.4741752006159905,1.3754126421664876,1.0934325026305072,1.0979136085955115,0.9942850317794062,0.6119751660496471,1.3404087665184214,1.4505438203393763,1.0834838897584116,0.8855657761096694,0.7022882282252045,0.9309043240372005,1.0311538284771289,0.8907874341463963,122.56546045214365,109.4923115162274,124.70064115135058,110.0197613285543,118.58502531043638,125.51680263164226,123.87547995009312,133.00484599776146,4.046740609005278,41.379615169679596
62,1.6263591352298037,1.5013796876732908,1.5578620476137868,1.5398783193564862,1.514024756870996,1.2454036148312186,1.4252392559965605,1.231821265318293,1.1155991661505358,0.9634477321814329,0.9773797949992825,1.0048109632658202,1.2192525257364257,1.1661293952846365,1.1878330642668404,1.260344072137548,1.173898302217081,1.1180054107862265,1.1133941660505757,1.0005612232885976,127.30965556414374,116.27421283430893,113.13992444799534,110.78968099098422,115.76866273086175,130.73517070147926,123.04273937911537,126.4256522522333,4.897841790333107,14.396308191722518
63,1.5602491196845447,1.615938339896423,1.3970245440947746,1.602061665673476,1.4958121107811735,1.309045399435153,1.4897280845602188,1.3952122502469233,1.229662620974328,0.8892254888458399,1.2770090341268785,1.1488377099066291,1.1802730471865468,0.9416640550041915,0.9428203289619342,0.7382483457435647,1.308384935307379,1.2675384874764661,1.0664701244295596,1.1137083014175488,115.83567369735924,117.56379851744568,113.3403329290563,120.85452546023299,113.37909693909697,128.73548730026636,121.38145407109643,128.88101822000448,12.497302359295425,1.8249671925320685
64,1.3608416456055261,1.5891850009619837,1.512786268057265,1.474083270669321,1.4621368039379645,1.2793755677231733,1.3930107766896096,1.345295481515165,0.9854134470146654,1.480529398479163,1.093955694654526,0.9907016130836545,1.2871371006830465,1.2718763419003598,1.4524698217972483,0.966579034160163,1.5548985403601345,1.1580781360722094,1.2292689604137157,0.8751437779628494,125.81578533082605,124.34411292755827,113.92269537400043,112.92377527128431,118.77334882635417,130.58219650243788,125.72524208389872,121.97405304028821,11.115273762600808,5.399651276061899
65,1.5110334494291107,1.5097194379844807,1.6066143961952786,1.4797580544413436,1.660582659079972,1.2885318372193808,1.4454612727359006,1.431176839833177,1.0197535245106455,1.207969931522231,1.1141622994449176,1.0830923152544654,1.001703793223351,1.4800630259720646,1.2443524075239114,1.398738359458733,0.9673904079100749,1.1021449213853487,1.0782828849610546,1.1690939051093039,131.96686195802772,112.47115141886827,118.94343525927272,112.59082464486042,108.10685869088142,130.734679591695,121.9291927321759,123.0485889235067,3.7590385435975175,9.886629132809063
66,1.4972231356411307,1.4315894613069602,1.6095965733336977,1.6275253215540912,1.4897316128565792,1.3394085709761114,1.448863000863565,1.3598043909470003,1.2780769038153588,1.0329584016268942,0.9548139585646576,1.1720933085124299,1.253143221276668,1.3233881121061333,1.1241065068143237,1.3083704437192238,1.2780376368646997,1.1576977409983489,1.0040769857969298,1.2637145552949443,118.7108642775082,117.55244680669301,111.72432254170741,114.23456642738002,118.12546154499731,123.13806362715728,127.46130013119637,128.38163999383482,11.86398730136278,15.185953967179987
67,1.5379637110733555,1.4830587746013728,1.629363358202641,1.5162849152123907,1.5341009270446486,1.2188509348439882,1.5297022795755184,1.4000533913433177,1.071046466792479,1.1311068141157423,1.1362329791781796,1.1069854382819908,1.1978913135386307,1.407465794883294,1.1666573435797944,1.2057841078152718,0.8681168529615735,1.0415705650927907,0.9823873161766699,1.1172361338937746,130.3298067636736,106.5606799648678,114.24240415394725,110.56845331051053,112.67859896000401,129.85252568593765,126.15022283093833,119.98643110092559,0.4560451985114167,14.353223171269708
